Estimated.Number.of.Cells,Mean.Reads.per.Cell,Median.Genes.per.Cell,Number.of.Reads,Valid.Barcodes%,Sequencing.Saturation%,Q30.Bases.in.Barcode%,Q30.Bases.in.RNA.Read%,Q30.Bases.in.Sample.Index%,Q30.Bases.in.UMI%,Reads.Mapped.to.Genome%,Reads.Mapped.Confidently.to.Genome%,Reads.Mapped.Confidently.to.Intergenic.Regions%,Reads.Mapped.Confidently.to.Intronic.Regions%,Reads.Mapped.Confidently.to.Exonic.Regions%,Reads.Mapped.Confidently.to.Transcriptome%,Reads.Mapped.Antisense.to.Gene%,Fraction.Reads.in.Cells%,Total.Genes.Detected,Median.UMI.Counts.per.Cell
SCRN_PPMI51755_3572_da65,9076,19749,2580,179246302,97,15.5,94.6,93.3,90.8,94.7,97,91.8,3.3,28.2,60.2,52.7,2.4,93,43324,6728
SCRN_PPMI51844_9766_da65,6671,25580,2591,170646275,97.2,20.5,94.6,93.4,89.5,94.8,97.1,91.4,3.7,25,62.7,55.5,2.1,91.9,43100,7567
SCRN_PPMI51867_2066_da65,7663,22540,2311,172730812,96.7,16.5,94.6,93.2,92.7,94.7,96.4,90,4.1,27.4,58.5,51,2.8,86.7,46068,6204
SCRN_PPMI52062_1443_da65,6420,28920,2991,185667011,97.1,23.4,94.4,93,91.5,94.5,96.7,90.6,2.9,21.6,66.2,58.8,2,91.4,43823,9083
SCRN_PPMI52400_3063_da65,6741,26718,2872,180112173,97.1,18.2,94.6,93.2,92.1,94.7,96.8,91.3,3,23.9,64.4,57.5,1.9,92.3,42895,8712
SCRN_PPMI52524_3961_da65,8619,23438,2697,202017462,97.7,18.4,94.5,93.2,91.7,94.6,97,91.4,3.6,24.8,63.1,56.1,1.7,91,44202,7340
SCRN_PPMI52932_9091_da65,6822,25431,2630,173492787,97,19.5,94.7,93.1,90.9,94.8,97.1,91.9,3.3,28.1,60.5,53,2.4,92,42867,7119
SCRN_PPMI53518_8871_da65,2208,69904,4561,154348460,97.4,37.2,94.7,93.7,87.2,94.9,96.9,91.6,3.4,28.9,59.3,52.1,2,90,41882,16409
SCRN_PPMI53988_8554_da65,2804,66457,4439,186347671,97.3,34.4,94.6,93.5,91.4,94.8,96.8,91.2,4,27.8,59.4,52.5,1.9,89.5,43522,16839
SCRN_PPMI54048_1314_da65,5203,30195,3045,157105432,97.3,20.7,94.7,93.8,91.4,94.9,97.1,91.6,4.2,26.9,60.5,53.4,2.1,93.7,43446,8878
SCRN_PPMI54262_5729_da65,6800,26601,2993,180892088,97.2,19.1,94.6,93.5,91.7,94.7,97,90.9,2.9,24,64,56.3,2.3,90.6,43424,8647
SCRN_PPMI54908_2514_da65,6259,30943,3279,193674733,96.9,17.4,94.6,93.1,91.2,94.7,96.5,90.3,3.8,26.3,60.2,52.4,2.7,87.2,44849,9779
SCRN_PPMI54991_0683_da65,6619,29500,3256,195266395,97.1,19.9,94.5,92.8,91.5,94.6,96.3,90.5,2.7,24,63.7,56,2.3,91.5,44424,9480
SCRN_PPMI55124_1128_da65,4479,38345,3374,171750253,97.3,23.4,94.7,93.7,89,94.8,96.8,91.4,4.4,26.6,60.4,53.4,2.1,92.5,44188,10782
SCRN_PPMI55380_2120_da65,6924,26128,3113,180915322,97.1,19.4,94.6,93.1,92.4,94.7,97,91.9,3.3,28.9,59.7,51.8,2.7,92.8,43852,8352
SCRN_PPMI56680_3169_da65,6460,28897,2886,186678503,97,23.2,94.7,93.3,88.5,94.7,96.8,91.2,4,28.6,58.6,50.8,2.9,87.6,45853,7941
SCRN_PPMI56779_0633_da65,9415,18660,2174,175687880,96.5,15.2,94.5,93.3,91.8,94.6,96.6,90.5,3.7,27.7,59.1,51.2,2.9,87.8,44160,5220
SCRN_PPMI57292_9970_da65,877,194374,6419,170466121,97.3,60.7,94.7,93.6,90.5,94.9,96.8,91.3,3.2,28.2,59.9,52.6,2.1,89.7,39622,30828
SCRN_PPMI57961_0085_da65,3813,48785,4031,186017841,97.3,29.2,94.7,93.6,90.5,94.8,97,91.6,3.5,28.4,59.8,52.5,2.1,93.6,43485,13363
SCRN_PPMI58182_0923_da65,3852,42951,3903,165447563,97.4,24.2,94.7,93.7,91.5,94.9,97.1,91.7,3.4,25.3,63,55.6,2,93.7,42480,13387
